t	x(t)	y(t)
0.0	40.0	60.0
0.06578947368421052	40.03276412019767	60.03100927148755
0.13157894736842105	40.065267007106485	60.058247612266
0.19736842105263158	40.097508660726426	60.08171502233534
0.2631578947368421	40.1294890810575	60.101411501695566
0.3289473684210526	40.16120826809972	60.1173370503467
0.3947368421052631	40.19266622185307	60.129491668288715
0.4605263157894736	40.22386294231755	60.13787535552163
0.5263157894736842	40.25479842949317	60.142488112045434
0.5921052631578947	40.28547268337992	60.14332993786013
0.6578947368421052	40.31588570397781	60.140400832965724
0.7236842105263157	40.346037491286836	60.13370079736221
0.7894736842105262	40.37592804530699	60.123229831049585
0.8552631578947367	40.405557366038295	60.108987934027866
0.9210526315789472	40.43492545348072	60.09097510629703
0.9868421052631577	40.46403230763429	60.06919134785709
1.0526315789473684	40.49287792849899	60.043636658708046
1.118421052631579	40.521462316074825	60.01431103884989
1.1842105263157896	40.5497854703618	59.98121448828263
1.2500000000000002	40.5778473913599	59.944347007006265
1.3157894736842108	40.60564807906914	59.90370859502079
1.3815789473684215	40.63318753348952	59.85929925232622
1.447368421052632	40.66046575462103	59.81111897892253
1.5131578947368427	40.68748274246368	59.75916777480974
1.5789473684210533	40.71423849701746	59.703445639987834
1.644736842105264	40.74073301828238	59.643952574456826
1.7105263157894746	40.76696630625843	59.58068857821672
1.7763157894736852	40.79293836094562	59.5136536512675
1.8421052631578958	40.81864918234394	59.44284779360917
1.9078947368421064	40.8440987704534	59.368271005241745
1.973684210526317	40.86928712527399	59.289923286165205
2.0394736842105274	40.89421424680572	59.20780463637956
2.105263157894738	40.91888013504858	59.121915055884806
2.1710526315789487	40.94328479000258	59.032254544680946
2.2368421052631593	40.967428211667716	58.938823102767984
2.30263157894737	40.991310400043986	58.84162073014591
2.3684210526315805	41.01493135513139	58.74064742681473
2.434210526315791	41.03829107692993	58.63590319277445
2.5000000000000018	41.061389565439605	58.52738802802506
2.5657894736842124	41.08422682066042	58.415101932566564
2.631578947368423	41.10680284259236	58.299044906398954
2.6973684210526336	41.12911763123544	58.17921694952224
2.7631578947368443	41.15117118658966	58.05561806193643
2.828947368421055	41.172963508655	57.928248243641505
2.8947368421052655	41.194494597431486	57.79710749463747
2.960526315789476	41.21582469894876	57.66219581492434
3.0263157894736867	41.23734545894781	57.523513204502095
3.0921052631578974	41.25912745223573	57.38105966337074
3.157894736842108	41.281170678812515	57.23483519153029
3.2236842105263186	41.30347513867816	57.08483978898072
3.289473684210529	41.32604083183268	56.93107345572206
3.35526315789474	41.34886775827606	56.773536191754275
3.4210526315789505	41.3719559180083	56.61222799707739
3.486842105263161	41.395305311029404	56.447148871691404
3.5526315789473717	41.41891593733938	56.27829881559631
3.6184210526315823	41.44278779693822	56.10567782879211
3.684210526315793	41.46692088982592	55.9292859112788
3.7500000000000036	41.491315216002484	55.74912306305637
3.815789473684214	41.51597077546793	55.565189284124855
3.881578947368425	41.54088756822222	55.37748457448423
3.9473684210526354	41.56606559426538	55.18600893413449
4.013157894736846	41.591504853597414	54.990762363075646
4.078947368421057	41.617205346218306	54.7917448613077
4.144736842105267	41.64316707212806	54.58895642883064
4.210526315789478	41.66939003132668	54.38239706564448
4.2763157894736885	41.695874223814165	54.172066771749215
4.342105263157899	41.72261964959052	53.957965547144845
4.40789473684211	41.749626308655735	53.74009339183136
4.47368421052632	41.77689420100981	53.51845030580876
4.539473684210531	41.80442332665276	53.29303628907708
4.605263157894742	41.83221368558457	53.06385134163627
4.671052631578952	41.86026527780525	52.83089546348637
4.736842105263163	41.888578103314785	52.59416865462735
4.8026315789473735	41.91715216211319	52.353670915059226
4.868421052631584	41.945987454200456	52.109402244782004
4.934210526315795	41.975083979576596	51.861362643795665
5.000000000000005	42.004441738241596	51.609552112100225
5.065789473684216	42.03406073019546	51.35397064969568
5.131578947368427	42.06394095543819	51.094618256582024
5.197368421052637	42.09408241396979	50.831494932759256
5.263157894736848	42.12448510579024	50.5646006782274
5.328947368421058	42.155149030899565	50.29393549298642
5.394736842105269	42.186074189297756	50.01949937703635
5.46052631578948	42.21726058098481	49.741292330377156
5.52631578947369	42.248708205960725	49.45931435300886
5.592105263157901	42.2804170642255	49.17356544493146
5.6578947368421115	42.312387155779156	48.88404560614495
5.723684210526322	42.34461848062166	48.590754836649346
5.789473684210533	42.37711103875304	48.293693136444624
5.855263157894743	42.409864830173284	47.99286050553079
5.921052631578954	42.44287985488239	47.68825694390787
5.986842105263165	42.47615611288036	47.379882451575824
6.052631578947375	42.509693604167204	47.06773702853467
6.118421052631586	42.54349232874291	46.751820674784426
6.1842105263157965	42.57755228660747	46.43213339032506
6.250000000000007	42.6118734777609	46.10867517515659
6.315789473684218	42.64645590220319	45.781446029279024
6.381578947368428	42.68129955993436	45.45044595269235
6.447368421052639	42.71640445095438	45.11567494539656
6.51315789473685	42.75177057526327	44.77713300739167
6.57894736842106	42.787397932861026	44.434820138677665
6.644736842105271	42.82328652374765	44.08873633925457
6.710526315789481	42.85943634792313	43.73888160912236
6.776315789473692	42.89584740538748	43.38525594828104
6.842105263157903	42.932519696140695	43.027859356730616
6.907894736842113	42.96945322018277	42.668282441892366
6.973684210526324	43.006647977513715	42.31201311128733
7.0394736842105345	43.04410396813353	41.9595147113914
7.105263157894745	43.081821192042206	41.61078724220458
7.171052631578956	43.119799649239745	41.26583070372686
7.236842105263166	43.158039339726145	40.92464509595826
7.302631578947377	43.19654026350141	40.587230418898756
7.368421052631588	43.235302420565546	40.253586672548366
7.434210526315798	43.27432581091854	39.92371385690708
